ar_mois,ar_vol,ae_ash,ar_fc,ar_sul,ar_hhv,ar_lhv,ar_oxy_exc
27.88,27.59,26.87,17.66,2.891,2978.107,2699.862,8.48
30.36,26.68,26.04,16.92,2.973,2826.252,2537.769,7.63
28.11,26.69,29.16,16.04,2.853,2793.489,2514.294,8.175
27.58,26.58,29.89,15.95,2.832,2764.718,2487.711,8.22
30.69,25.83,26.66,16.82,3.088,2826.15,2536.305,6.935
30.36,26.34,26.65,16.65,2.845,2811.715,2523.232,8.109
30.75,28.21,27.08,13.96,3.338,2786.835,2496.742,7.095
29.12,25.33,30.35,15.2,2.768,2649.06,2365.696,7.445
28.76,26.27,30.44,14.53,3.142,2654.124,2372.246,7.495
30.56,26.97,26.05,16.42,2.918,2872.133,2582.825,8.163
30.17,26.77,26.81,16.25,2.955,2842.472,2554.774,7.693
28.67,26.27,29.39,15.67,2.811,2732.312,2450.806,7.762
30.7,28.94,23.82,16.54,3.488,3013.124,2723.237,7.873
28.24,27,27.68,17.08,2.851,2906.961,2627.23,8.206
28.58,26.67,27.56,17.19,2.866,2905.216,2624.08,7.977
29.95,28.08,22.31,19.66,2.916,3196.687,2909.897,8.504
30.57,26.33,28.3,14.8,2.853,2673.698,2384.349,7.727
31.12,29.65,20.97,18.26,3.346,3199.631,2908.011,8.101
31.83,27.2,22.96,18.01,2.832,3021.632,2727.081,8.204
32.57,26.68,25.5,15.25,2.771,2705.615,2408.01,6.304
32.33,27.04,24.65,15.98,2.8,2765.568,2468.953,8.247
34.24,26.27,24.31,15.18,2.781,2675.597,2371.098,7.63
30.13,27.52,27.41,14.94,3.853,2815.412,2527.878,6.754
31.44,28.39,23.59,16.58,3.603,3023.225,2730.284,7.485
31.27,28.59,23.02,17.12,3.744,3091.636,2799.396,7.543
30.97,27.96,26.72,14.35,3.404,2779.16,2488.159,7.317
30.25,26.76,28.38,14.61,3.288,2643.115,2355.086,7.198
31.61,25.96,25.01,17.42,3.031,2834.628,2540.985,7.862
31.68,26.56,24.57,17.19,2.989,2871.369,2577.438,8.159
31.31,26.57,25.96,16.16,3.129,2799.804,2507.4,7.808
31.6,26.43,27.14,14.83,3.339,2706.057,2412.455,7.266
30.39,26.85,25.55,17.21,3.105,2931.543,2642.936,8.23
32.27,26.5,24.88,16.35,2.978,2854.351,2557.984,7.804
29.86,25.41,31.47,13.26,3.278,2506.217,2219.799,7.426
31.56,26.86,25.26,16.32,2.909,2854.886,2561.45,8.577
31.52,27.23,24.61,16.64,2.858,2902.016,2608.745,9.123
31.16,26.99,26.28,15.57,2.767,2791.305,2499.52,8.7
29.59,25,31.22,14.19,3.137,2535.516,2250.212,7.624
31.4,26.79,25.5,16.31,2.884,2835.357,2542.582,8.574
31.37,26.92,25.34,16.37,2.909,2847.172,2554.52,8.195
31.58,25.86,28.63,13.93,2.706,2561.562,2268.043,7.321
31.88,25.39,28.46,14.27,2.804,2576.594,2281.837,6.845
32.96,25.46,27.11,14.47,2.805,2605.022,2305.807,7.098
32.38,26.89,24.55,16.18,2.714,2807.48,2510.659,7.627
32.85,27.38,26.32,13.45,3.228,2619.557,2320.796,7.687
31.97,25.61,26.83,15.59,2.803,2667.113,2371.984,8.324
32.78,25.84,25.62,15.76,2.799,2701.346,2402.874,8.012
31.41,24.88,28.98,14.73,2.811,2521.119,2228.302,8.062
29.9,28.08,29.91,12.11,3.441,2560.801,2274.218,6.554
30.44,26.42,26.25,16.89,2.907,2852.62,2563.807,5.208
30.15,26.75,26.83,16.27,2.953,2832.236,2544.621,5.672
29.97,26.68,27.36,15.99,2.957,2802.694,2515.822,5.297
33.08,27.25,25.79,13.88,3.36,2697.219,2397.509,8.142
29.63,26.46,27.46,16.45,2.907,2815.651,2530.181,8.439
29.6,26.5,28.15,15.75,2.888,2760.351,2475.006,8.432
30.3,25.36,29.22,15.12,2.804,2607.467,2319.232,8.395
31.51,26.76,27.66,14.07,3.476,2643.475,2350.245,7.622
30.8,26.46,26.62,16.12,2.691,2799.231,2508.932,8.724
30.39,26.43,27.16,16.02,2.829,2777.422,2488.816,8.62
34.62,26.58,24.63,14.17,3.628,2705.315,2399.248,6.596
31.04,26.15,25.87,16.94,2.81,2846.371,2555.082,8.463
30.97,26.22,26.56,16.25,2.95,2796.86,2505.859,8.144
30.83,26.47,26.66,16.04,2.935,2797.631,2507.208,8.105
31.56,26.95,27.67,13.82,3.519,2677.664,2384.227,6.241
30.25,26.35,27.2,16.2,2.865,2819.514,2531.485,8.741
30.98,26.32,24.96,17.74,2.901,2942.594,2651.552,8.892
30.55,26.66,25.33,17.46,3.001,2955.392,2666.125,8.726
31.52,26.81,28.42,13.25,3.678,2577.588,2284.317,7.009
31.01,25.04,28.07,15.88,3.138,2645.663,2354.497,6.893
31.25,26.29,27.58,14.88,2.844,2645.553,2353.396,8.47
30.97,25.7,29.14,14.19,3.462,2599.321,2308.32,6.365
28.5,26.99,30.26,14.25,2.825,2662.804,2381.999,8.283
28.73,27.02,29.93,14.32,2.746,2655.34,2373.586,7.268
29.58,26.51,28.53,15.38,2.772,2726.147,2440.884,8.459
30.22,26.7,28.85,14.23,3.712,2662.179,2374.274,7.254
29.19,27.05,28.01,15.75,2.95,2751.628,2467.974,9.197
29.25,27.41,27.36,15.98,2.933,2807.023,2523.123,7.739
30.8,27.63,26.8,14.77,3.644,2788.966,2498.667,6.14
29.79,27.31,25.62,17.28,2.998,2943.208,2657.078,9.707
31.1,25.21,28.28,15.41,2.916,2615.824,2324.287,7.483
32.09,24.86,27.26,15.79,2.78,2632.008,2336.384,7.698
31.2,26.91,29.23,12.66,3.552,2531.202,2239.251,6.762
31.25,26.28,27.98,14.49,2.957,2652.851,2360.695,7.406
32.11,26.43,25.46,16,2.913,2795.678,2499.971,8.456
29.14,27.08,31.23,12.55,3.35,2555.099,2271.652,6.212
29.03,25.32,31.68,13.97,2.955,2541.666,2258.673,7.826
28.69,25.44,31.03,14.84,3.009,2624.715,2343.126,6.692
28.78,25.51,30.94,14.77,3.032,2618.374,2336.413,6.865
28.6,27.62,30.27,13.51,3.464,2671.564,2390.346,6.807
28.56,26.75,32.39,12.3,3.163,2507.196,2226.143,8.228
29.29,27.07,28.39,15.25,2.998,2762.729,2478.663,9.232
29.31,27,29.07,14.62,3.029,2709.172,2425.023,9.079
31.5,24.91,28.72,14.87,2.703,2578.103,2284.915,7.281
31.12,25.41,28.41,15.06,2.725,2622.479,2330.859,7.541
31,26.18,27.87,14.95,2.79,2659.139,2368.014,7.196
30.63,25.18,28,16.19,2.582,2694.588,2404.991,7.268
29.06,26.79,32.34,11.81,3.514,2465.925,2182.809,6.527
28.91,26.5,30.58,14.01,3.156,2631.312,2348.814,6.706
28.77,26.65,28.38,16.2,2.61,2789.877,2507.957,8.084
29.24,26.81,27.64,16.31,2.604,2812.971,2529.111,8.265
32.08,26.39,25.33,16.2,2.752,2798.416,2502.833,7.684
31.5,26.53,26.17,15.8,2.873,2793.985,2500.796,7.464
32.1,25.82,26.31,15.77,2.929,2769.589,2473.924,6.967
28.65,26.38,30.55,14.42,3.602,2639.623,2358.199,6.745
29.96,27.05,26.34,16.65,3.167,2890.742,2603.911,7.522
29.42,27.48,26.05,17.05,3.109,2941.637,2657.034,7.673
29.39,27.28,26.48,16.85,3.147,2910.662,2626.184,7.624
32.03,25.86,28.67,13.44,3.369,2543.811,2248.434,6.682
32.83,25.69,26.28,15.2,2.883,2693.596,2394.917,7.024
32.95,25.82,25.13,16.1,2.891,2769.057,2469.883,7.276
32.74,26,24.82,16.44,2.881,2820.049,2521.742,7.27
29.99,27.01,27.46,15.54,2.934,2798.615,2511.66,7.469
30.22,27.29,25.59,16.9,2.91,2924.682,2636.778,7.937
31.77,25.89,28.64,13.7,3.126,2571.797,2277.494,6.761
30.58,26.21,27.49,15.72,3.329,2760.555,2471.164,7.056
34.27,24.76,26.04,14.93,2.601,2565.019,2260.396,6.825
34.02,24.46,26.41,15.11,2.563,2547.038,2243.447,6.954
34.21,25.28,25.16,15.35,2.558,2627.91,2323.534,7.441
33.68,25.89,26.47,13.96,2.821,2554.831,2252.644,5.961
32.34,26.87,26.22,14.57,3.339,2651.397,2354.741,7.186
31.84,26.52,25.14,16.5,2.902,2813.334,2518.742,8.028
32.09,26.31,26.19,15.41,2.884,2706.431,2410.807,7.649
30.48,24.99,28.91,15.62,2.825,2645.444,2356.465,7.585
30.05,25.58,27.35,17.02,2.805,2799.457,2512.254,8.142
29.24,25.7,28.14,16.92,2.61,2801.254,2517.395,7.671
29.86,25.41,29.81,14.92,2.733,2629.629,2343.21,7.154
32.19,24.87,27.59,15.35,2.842,2632.031,2335.994,7.038
32,25.08,27.16,15.76,3.145,2696.799,2401.546,7.032
31.76,25.58,27.01,15.65,2.842,2698.043,2403.781,7.578
31.4,25.74,27.38,15.48,2.958,2690.024,2397.248,6.618
31.26,25.48,29.64,13.62,3.058,2526.445,2234.247,6.572
29.99,25.92,28.94,15.15,3.043,2711.559,2424.603,6.852
30.32,25.98,28.08,15.62,3.122,2747.92,2459.602,7.322
32.84,25.87,28.46,12.83,3.061,2509.991,2211.271,6.724
29.98,25.48,30.59,13.95,3.208,2583.289,2296.374,6.605
31.96,24.95,29.08,14.01,2.88,2543.464,2248.376,6.854
31.98,25.5,29.16,13.36,2.656,2518.884,2223.714,6.517
34.39,26.1,25.31,14.2,3.308,2648.191,2343.073,6.399
32.41,25.23,27.42,14.94,2.848,2635.732,2338.787,6.936
31.77,25.56,28.18,14.49,2.872,2617.464,2323.161,6.858
29.85,25.54,31.06,13.55,3.605,2516.916,2230.539,6.16
30.07,27.65,26.62,15.66,3.246,2865.336,2578.05,7.211
