p_ar_mois,p_ar_vol,p_ar_ash,p_ar_fc,p_ar_sul,u_ar_car,u_ar_nit,u_ar_hyd_exc,u_ar_oxy_exc
26.93,28.66,27.49,16.92,2.87,31.574,1.141,2.405,7.59
28.75,27.88,27.57,15.8,2.773,29.941,1.113,2.116,7.738
26.94,26.5,31.18,15.38,2.574,28.532,1.074,2.086,7.619
27.08,26.89,30.23,15.8,2.852,29.334,1.083,2.162,7.261
27.22,26.56,30.86,15.36,2.869,28.512,1.064,2.057,7.416
26.46,26.71,30.8,16.03,2.98,28.98,1.059,2.114,7.609
26.02,26.7,32.02,15.26,2.924,28.395,1.048,2.07,7.525
26.89,27.55,30.46,15.1,2.896,29.072,1.079,2.11,7.489
27.75,26.54,29.61,16.1,2.928,28.965,1.036,2.138,7.577
27.77,29.46,28.97,13.8,3.445,29.621,1.038,2.074,7.082
26.46,27.26,30.2,16.08,2.791,29.296,1.08,2.124,8.051
26.65,26.87,29.75,16.73,2.691,29.551,1.111,2.155,8.097
29.48,25.44,30.68,14.4,2.625,26.841,1.005,1.928,7.44
28.35,24.78,31.86,15.01,2.547,26.837,1.014,1.956,7.44
28.41,25.12,31.39,15.08,2.592,27.097,1.033,1.993,7.483
29.69,25.34,32.66,12.31,2.355,25.138,0.934,1.844,7.378
30.62,26.14,30.74,12.5,2.793,26.34,0.937,1.807,6.766
28.7,26.92,30.33,14.05,2.543,27.814,1.022,2.004,7.586
30.07,26.63,29.19,14.11,2.525,27.73,1.028,2.009,7.451
28.84,26.1,28.68,16.38,2.45,29.071,1.148,2.113,7.698
30.48,27.33,29.6,12.59,2.876,26.884,1.002,1.919,7.24
29.32,26.3,28.55,15.83,2.67,28.788,1.088,2.072,7.515
28.28,27.11,28.12,16.49,2.773,29.764,1.118,2.143,7.8
29.17,26.05,29.54,15.24,2.35,27.73,1.052,2.043,8.108
30.4,27.52,26.94,15.14,2.788,28.94,1.041,2.081,7.808
28.98,27.21,27.16,16.65,2.56,29.796,1.107,2.179,8.222
28.89,27.1,27.51,16.5,2.649,29.578,1.091,2.196,8.083
28.04,27.2,28.71,16.05,2.896,29.481,1.052,2.127,7.696
26.65,26.71,32.78,13.86,2.6,27.207,1.06,2.038,7.669
26.39,26.99,31.16,15.46,2.679,28.649,1.095,2.137,7.887
28.11,24.81,30.48,16.6,2.522,28.183,1.089,2.061,7.556
28.35,25.09,29.8,16.76,2.526,28.317,1.058,2.054,7.891
28.06,25.65,29.1,17.19,2.552,29.155,1.079,2.106,7.951
28.43,27.65,27.19,16.73,2.627,30.171,1.136,2.247,8.194
28.42,28.09,26.57,16.92,2.737,30.654,1.142,2.243,8.237
30.34,27.2,26.86,15.6,2.524,29.151,1.106,2.124,7.895
29.7,28.32,25.8,16.18,2.609,30.27,1.114,2.198,8.312
28.23,26.16,33.2,12.41,2.696,28.423,1.082,2.13,4.242
29.48,27.58,28.79,14.15,2.83,28.434,0.998,2.143,7.326
28.7,27.04,28.09,16.17,2.561,29.28,1.062,2.205,8.107
30.03,24.76,30.92,14.29,2.438,26.316,0.974,2.04,7.283
30.96,26.58,27.67,14.79,2.495,28.248,1.048,2.159,7.418
28.68,27.62,26.7,17,2.704,30.485,1.12,2.281,8.034
29.57,27.54,26.61,16.28,2.619,30.008,1.094,2.239,7.863
30.05,26.11,29.41,14.43,2.387,27.567,0.992,2.054,7.539
29.81,26.84,26.33,17.02,2.541,30.31,1.079,2.252,7.676
29.76,27.28,27.19,15.77,2.576,29.511,1.045,2.177,7.741
30.39,27.35,26.88,15.38,2.635,29.261,1.07,2.14,7.619
30.03,27.36,26.35,16.26,2.452,29.82,1.134,2.209,8.001
28.76,27.47,26.57,17.2,2.495,30.562,1.16,2.29,8.168
28.98,27.62,27.44,15.96,2.84,29.418,1.069,2.17,8.087
27.96,30.37,24.04,17.63,3.011,33.315,1.182,2.412,8.083
28.75,28.52,25.57,17.16,2.587,31.358,1.155,2.314,8.269
30.02,27.1,26.69,16.19,2.623,29.8,1.101,2.253,7.516
31,28.63,23.39,16.98,2.526,31.508,1.093,2.19,8.297
28.68,28.56,26.11,16.65,2.712,30.998,1.073,2.238,8.193
30.97,27.81,24.3,16.92,2.624,30.876,1.059,2.26,7.91
28.73,29.62,25.07,16.58,2.903,31.872,1.035,2.195,8.192
30.27,28.72,24.52,16.49,2.688,31.081,1.051,2.23,8.156
30.32,26.58,26.2,16.9,2.494,29.948,1.153,2.199,7.691
31.49,27.16,25.09,16.26,2.545,29.751,1.074,2.154,7.891
30.79,27.41,25.35,16.45,2.62,30.359,1.081,2.232,7.563
31.25,26.93,25.22,16.6,2.692,30.232,1.069,2.211,7.324
30.21,26.4,29.31,14.08,2.537,27.825,1.008,2.099,7.012
30.98,28.93,19.02,21.07,1.888,34.75,1.287,2.401,9.677
31.45,28.62,21.13,18.8,2.429,32.836,1.148,2.345,8.663
30.51,28.99,21.9,18.6,2.32,32.734,1.154,2.334,9.045
29.13,26.36,28.3,16.21,2.689,29.371,1.077,2.204,7.232
28.73,28.12,29.3,13.85,3.039,28.745,1.035,2.123,7.032
28.45,28.27,26.37,16.91,2.716,31.103,1.116,2.272,7.976
30.18,25.5,30.08,14.24,2.808,27.225,0.962,2.073,6.67
31.67,27.76,23.23,17.34,2.669,31.274,1.069,2.25,7.833
30.54,28.17,25.49,15.8,2.654,30.327,1.075,2.2,7.714
30.55,27.75,23.23,18.47,3.127,32.282,1.143,2.371,7.294
28.65,27.19,27.71,16.45,3.007,30.205,1.143,2.32,6.963
28.41,27.03,28.51,16.05,2.622,29.809,1.158,2.253,7.234
28.77,28.63,27.04,15.56,2.788,30.405,1.131,2.29,7.58
29.23,26.62,27.56,16.59,2.687,29.794,1.145,2.287,7.297
28.51,27.22,28.14,16.13,2.776,30.067,1.139,2.291,7.079
29.31,26.98,30,13.71,2.821,27.99,1.031,2.189,6.662
29.47,27.82,25.94,16.77,2.636,30.883,1.143,2.378,7.554
29.67,27.17,28.42,14.74,2.79,28.612,1.082,2.205,7.217
28.94,25.21,31.59,14.26,2.72,26.834,1.273,1.945,6.699
27.93,27,29.11,15.96,2.773,29.487,1.163,2.248,7.286
30.95,26.34,27.01,15.7,2.799,29.077,1.113,2.27,6.778
28.7,29.08,29.13,13.09,3.474,29.191,1.121,2.305,6.078
28.91,27.9,26.91,16.28,2.994,30.678,1.186,2.396,6.93
30.13,26.65,27.5,15.72,2.871,29.096,1.108,2.32,6.973
28.45,28.11,27.37,16.07,3.303,30.578,1.092,2.42,6.786
28.75,27.56,26.72,16.97,2.739,30.682,1.183,2.432,7.497
28.38,27.51,27.76,16.35,2.744,29.99,1.152,2.4,7.575
29.41,26.85,27.14,16.6,3.1,29.974,1.15,2.403,6.817
29.76,27.73,25.87,16.64,2.855,30.552,1.153,2.394,7.42
29.64,27.46,26.32,16.58,2.841,30.404,1.139,2.399,7.262
29.13,27.16,28.53,15.18,2.562,29.122,1.081,2.113,7.46
30.84,28.73,21.93,18.5,3.058,33.002,1.125,2.496,7.547
29.15,27.14,26.78,16.93,2.684,30.376,1.137,2.388,7.489
29.25,27,27.58,16.17,2.68,29.71,1.141,2.372,7.266
30.4,28.46,24.3,16.84,2.884,31.583,1.112,2.413,7.308
29.54,28.02,23.48,18.96,2.877,32.787,1.192,2.55,7.571
29.97,27.8,23.64,18.59,2.717,32.307,1.199,2.559,7.607
30.69,27.47,21.75,20.09,2.384,33.233,1.31,2.572,8.064
30.82,25.36,25.53,18.29,2.681,30.43,1.124,2.474,6.939
28.92,27.14,24.6,19.34,3.163,32.923,1.172,2.591,6.629
30.92,25.6,25.5,17.98,2.787,30.617,1.116,2.41,6.652
30.16,25.57,25.65,18.62,2.795,30.702,1.123,2.385,7.186
29.08,26.3,31.19,13.43,2.51,26.888,1.032,2.208,7.091
29.7,28.81,24.35,17.14,3.001,32.159,1.164,2.529,7.1
27.9,25.61,33.07,13.42,2.584,26.367,1.024,2.23,6.827
28.08,26.37,31.56,13.99,2.551,27.297,1.061,2.274,7.181
28.49,24.39,30.37,16.75,2.617,28.42,1.071,2.363,6.668
29.52,25.31,28.62,16.55,2.656,28.901,1.039,2.337,6.928
28.68,25.16,29.5,16.66,2.781,28.87,1.051,2.381,6.736
27.89,25.33,32.06,14.72,2.679,27.395,1.014,2.261,6.701
31.07,27.44,27.99,13.5,2.741,28.118,0.902,2.272,6.904
28.77,27.17,27.93,16.13,2.63,29.875,0.985,2.448,7.361
28.06,27.75,29.01,15.18,2.727,29.585,0.98,2.43,7.211
28.94,25.74,31.02,14.3,2.671,27.236,0.92,2.278,6.933
31.36,25.19,26.74,16.71,2.368,28.511,0.983,2.342,7.697
31.61,27.06,23.36,17.97,2.119,31.273,1.097,2.49,8.054
31.13,27.46,23.45,17.96,2.082,31.422,1.105,2.513,8.298
29.92,26.25,29.17,14.66,2.553,28.24,0.919,2.35,6.849
31.26,27.63,27.34,13.77,2.542,28.246,0.913,2.283,7.416
28.13,27.31,29.18,15.38,2.641,29.404,0.962,2.46,7.219
28.42,27.38,28.61,15.59,2.664,29.598,0.98,2.457,7.275
29.15,25.76,30.3,14.79,2.742,27.748,0.91,2.321,6.831
29.11,27.38,28.96,14.55,2.874,28.906,0.957,2.395,6.796
29.07,27.36,27.62,15.95,2.625,29.92,0.998,2.462,7.304
28.86,26.87,28.25,16.02,2.725,29.653,0.995,2.47,7.044
30.78,26.68,26.58,15.96,2.444,29.469,1.037,2.395,7.291
30.84,25.85,26.99,16.32,2.676,29.329,1.02,2.396,6.753
30.48,26.34,27.06,16.12,3.226,29.886,0.997,2.445,5.908
31.42,26.99,25.18,16.41,2.358,29.96,1.045,2.427,7.611
28.15,25.63,29.94,16.28,2.821,28.721,1.026,2.463,6.879
27.54,25.73,31.7,15.03,3.198,28.067,0.934,2.418,6.146
28.17,27.05,28.06,16.72,2.974,30.386,1.039,2.562,6.813
28.67,27.16,27.43,16.74,2.959,30.617,1.046,2.554,6.727
28.18,26.19,28.41,17.22,2.969,30.142,1.036,2.584,6.681
28.98,26.45,30.67,13.9,2.735,27.487,0.903,2.367,6.855
27.69,27.71,27.92,16.68,2.667,30.815,1.076,2.584,7.249
28.46,27.34,27.6,16.6,2.763,30.405,1.067,2.558,7.146
28.06,26.62,28.81,16.51,2.848,29.907,1.032,2.573,6.774
28.05,26.33,27.76,17.86,3.054,30.614,1.044,2.615,6.864
28.66,27.78,28.48,15.08,2.924,29.686,0.99,2.49,6.769
27.13,26.88,30.21,15.78,3.061,29.624,1.017,2.567,6.394
26.84,27.5,29.91,15.75,3.092,29.758,1.096,2.543,6.758
27.12,26.35,29.68,16.85,3.234,29.562,1.069,2.599,6.74
27.29,28.58,26.98,17.15,3.451,31.758,1.077,2.689,6.758
27.26,27.92,28.53,16.29,3.095,30.596,1.084,2.584,6.852
30.98,28.64,24.41,15.97,3.095,31.161,1,2.597,6.754
27.32,27.14,29.19,16.35,2.812,30.077,1.07,2.581,6.95
29.02,29.46,23.94,17.58,3.28,32.402,1.067,2.654,7.634
27.94,28.91,25.16,17.99,3.046,32.918,1.153,2.716,7.071
26.22,29.46,26.01,18.31,3.012,33.616,1.19,2.826,7.13
28.63,27.24,28.53,15.6,2.612,29.739,1.069,2.581,6.844
29.96,27.31,27.64,15.09,2.529,29.161,1.032,2.485,7.188
27.91,27.63,28.35,16.11,2.534,30.365,1.091,2.587,7.161
27.74,27.56,29.22,15.48,2.497,29.416,1.024,2.24,7.865
28.86,27.05,26.71,17.38,2.668,32.042,1.135,2.441,6.14
30.19,25.88,28.12,15.81,2.81,28.753,1.03,2.26,6.833
31.41,25.22,26.98,16.39,2.732,28.7,0.976,2.166,7.039
29.26,24.91,26.8,19.03,2.707,30.697,1.103,2.364,7.074
28.96,26.31,28.81,15.92,2.696,29.288,1.053,2.333,6.857
26.98,26.93,29.04,17.05,3.2,30.458,1.075,2.409,6.835
25.54,26.51,32.44,15.51,3.094,28.919,1.034,2.299,6.67
28.63,28.15,27.08,16.14,3.338,30.897,1.074,2.36,6.622
26.58,27.51,28.35,17.56,3.161,31.465,1.121,2.467,6.859
29.33,27.03,27.75,15.89,2.725,29.952,1.036,2.322,6.881
26.25,29.25,29.36,15.14,3.44,30.981,1.06,2.415,6.492
29.13,28.62,24.68,17.57,2.662,32.21,1.114,2.48,7.721
27.25,27.89,31.73,13.13,2.893,28.349,1.104,2.188,6.49
25.63,28.66,26.94,18.77,3.326,32.914,0.912,2.523,7.758
27.45,27.58,29.47,15.5,2.851,29.817,1.152,2.279,6.982
31.16,28.43,24.87,15.54,3.22,30.865,1.128,2.333,6.428
27.3,28.51,27.29,16.9,2.681,31.471,1.233,2.443,7.583
27.95,28.88,24.97,18.2,2.777,32.884,1.298,2.461,7.656
28.89,25.92,30.67,14.52,3.058,27.769,0.984,2.116,6.512
29.7,27.87,26.23,16.2,3.106,30.423,1.007,2.264,7.265
28.59,26.87,29.41,15.13,2.941,28.891,1.024,2.189,6.957
28.71,26.54,28.03,16.72,2.943,29.759,1.052,2.253,7.256
28.57,27.15,27.58,16.7,3.205,30.192,1.038,2.34,7.072
29.05,28.19,25.64,17.12,3.592,31.485,1.033,2.406,6.795
28.29,28.05,26.11,17.55,3.357,31.688,1.086,2.469,6.998
26.16,29.18,25.87,18.79,3.389,33.462,1.219,2.432,7.47
31.48,26.74,25.09,16.69,3.152,30.167,1.082,2.381,6.65
30.59,27.18,24.4,17.83,3.143,31.255,1.187,2.431,6.992
31,26.96,24.74,17.3,3.182,30.917,1.093,2.432,6.63
27.38,25.42,29.34,17.86,3.283,29.53,1.089,2.419,6.962
28.1,27.42,27.45,17.03,2.885,30.501,1.067,2.422,7.571
27.96,29.48,22.84,19.72,2.546,34.378,1.226,2.583,8.469
31.4,29.27,18.06,21.27,2.885,35.897,1.265,2.626,7.865
30.03,28.94,20.03,21,3.021,34.59,1.243,2.618,8.466
30.54,28.53,18.6,22.33,3.079,36.137,1.27,2.645,7.727
31.85,25.95,24.53,17.67,2.825,30.153,1.113,2.29,7.242
31.55,26.14,24.45,17.86,2.768,30.615,1.136,2.341,7.136
31.16,28.74,20.15,19.95,2.967,34.466,1.212,2.578,7.47
31.52,26.55,25.58,16.35,2.88,30.09,1.116,2.331,6.482
31.83,25.7,25.39,17.08,2.701,29.992,1.11,2.297,6.681
31.9,25.94,24.96,17.2,2.867,30.243,1.116,2.325,6.584
30.57,26.77,23.19,19.47,2.934,32.104,1.119,2.497,7.582
29.78,26.87,22.83,20.52,2.912,33.077,1.153,2.58,7.671
31.94,28.52,19.94,19.6,2.712,34.151,1.205,2.527,7.526
29.7,27.59,22.73,19.98,3.514,33.8,1.146,2.604,6.504
30,27.58,22.57,19.85,2.981,33.287,1.167,2.601,7.391
29.9,26.72,23.43,19.95,3.012,32.502,1.139,2.538,7.475
30.04,27.84,21.44,20.68,3.084,34.281,1.186,2.677,7.287
28.62,28.23,22.31,20.84,3.009,34.752,1.209,2.729,7.372
27.2,28.3,23.69,20.81,3.18,34.329,1.204,2.696,7.701
30.15,28.74,19.73,21.38,2.982,35.83,1.24,2.711,7.355
27.04,30.53,19.48,22.95,3.047,38.339,1.298,2.892,7.901
28.98,28.69,22.2,20.13,3.103,34.578,1.195,2.7,7.244
29.58,28.9,21.76,19.76,2.983,35.521,1.193,2.707,6.259
29.89,28.51,23.49,18.11,2.929,32.477,1.101,2.497,7.617
30.04,28.15,24.01,17.8,3.043,32.071,1.073,2.447,7.319
31.55,26.69,25.11,16.65,2.762,30.22,1.068,2.32,6.967
31.68,27.46,23.58,17.28,2.743,31.468,1.084,2.388,7.06
33.48,27.37,23.07,16.08,2.765,30.373,1.014,2.279,7.022
30.3,27.76,25.2,16.74,2.952,31.233,1.095,2.397,6.826
30.63,25.24,26.48,17.65,2.533,29.995,0.961,2.276,7.125
28.88,25.83,26.27,19.02,2.675,31.094,1.113,2.473,7.493
28.58,26.04,28.21,17.17,2.791,29.979,1.079,2.373,6.987
28.4,26.71,25.37,19.52,2.88,32.259,1.152,2.509,7.429
29.41,26.08,25.78,18.73,2.829,31.115,1.099,2.428,7.336
31.52,24.98,26.29,17.21,2.486,29.657,0.956,2.247,6.838
31.52,24.75,25.94,17.79,2.367,29.761,0.94,2.273,7.195
30.76,24.85,27.13,17.26,2.37,29.303,0.939,2.248,7.254
30.84,26.04,25.57,17.55,2.447,30.513,0.947,2.311,7.37
30.6,26.22,26.26,16.92,2.734,30.212,0.952,2.317,6.927
30.81,26.12,24.94,18.13,2.661,31.01,0.979,2.382,7.213
29.12,26.55,28.18,16.15,3.085,29.51,1.049,2.385,6.67
28.13,27.13,31.08,13.66,2.564,27.58,1.009,2.259,7.375
29.57,27.94,23.46,19.03,3.187,32.607,1.126,2.599,7.449
28.9,28.34,23.88,18.88,3.239,32.904,1.14,2.637,7.303
29.02,26.6,27.45,16.93,2.696,30.092,1.097,2.386,7.256
27.92,27.41,28.89,15.78,2.809,29.656,1.074,2.399,7.254
32.79,26.53,24.64,16.04,2.888,28.831,0.997,2.185,7.664
30.36,26.82,25.56,17.26,2.699,30.222,1.085,2.375,7.695
28.65,27.51,27.41,16.43,2.732,30.411,1.116,2.387,7.292
28.57,27.37,26.8,17.26,2.8,30.865,1.122,2.4,7.441
28.07,27.38,27.05,17.5,2.948,31.09,1.104,2.47,7.269
29.02,26.46,26.78,17.74,2.914,30.433,1.096,2.414,7.34
29.28,26.88,26.64,17.2,2.834,30.602,1.091,2.461,7.093
29.19,27.39,26.86,16.56,2.921,30.447,1.091,2.437,7.059
28.57,26.89,27.47,17.07,2.965,30.691,1.097,2.416,6.793
28.11,27.24,26.59,18.06,2.974,31.704,1.131,2.534,6.954
27.91,27.64,26.41,18.04,2.983,31.887,1.143,2.54,7.125
28.52,26.89,27.12,17.47,2.991,31.056,1.057,2.483,6.776
28.4,27.48,29.09,15.03,2.773,29.618,1.054,2.387,6.677
28.25,27.46,28.5,15.79,2.787,29.981,1.082,2.405,6.999
29.84,27,26.8,16.36,2.727,30.09,1.078,1.903,7.566
29.02,27.19,27.94,15.85,2.775,29.944,1.086,2.412,6.821
28.7,27.73,27.23,16.34,2.625,30.445,1.088,2.43,7.487
29.03,28.25,25.56,17.16,2.919,31.65,1.101,2.505,7.232
32.61,26.97,24.82,15.6,2.837,29.463,1.004,2.281,6.987
29.14,26.53,29.33,15,2.76,28.727,1.028,2.286,6.731
29,27.34,27.72,15.94,2.743,29.923,1.072,2.374,7.168
29.08,27.77,25.82,17.33,2.852,31.388,1.124,2.492,7.242
26.3,28.52,27.64,17.54,2.668,31.875,1.126,2.726,7.668
29.87,27.68,25.76,16.69,2.783,30.756,1.085,2.462,7.283
30.5,27.37,25.3,16.83,2.815,30.782,1.099,2.421,7.08
30.68,27.31,24.06,17.95,2.472,31.659,1.152,2.475,7.497
28.41,27.82,27.53,16.24,2.988,30.583,1.1,2.442,6.951
31.29,27.66,23.79,17.26,2.321,31.109,1.051,2.376,8.06
29.25,27.38,25.26,18.11,2.724,31.779,1.137,2.477,7.375
29.04,27.92,25.01,18.03,2.818,32.238,1.144,2.508,7.247
29.38,27.59,24.54,18.49,2.888,32.322,1.109,2.531,7.231
29.65,27.59,24.26,18.5,2.991,32.114,1.14,2.491,7.356
30.43,27.06,28.43,14.08,2.858,28.253,0.943,2.184,6.899
28.86,27.02,28.02,16.1,2.686,30.056,1.036,2.382,6.964
29.37,26.85,26.75,17.03,2.545,30.622,1.046,2.393,7.276
29.65,26.61,26.8,16.94,2.803,30.412,1.078,2.383,6.87
29.78,27.39,24.9,17.93,2.779,31.667,1.08,2.442,7.357
29.58,26.71,25.57,18.14,2.968,31.223,1.06,2.456,7.146
28.92,28.15,28.7,14.23,3.235,29.472,1.027,2.182,6.462
28.94,26.76,28.6,15.7,2.919,29.672,1.061,2.322,6.49
28.8,27.44,27.9,15.86,2.934,30.278,1.064,2.375,6.65
28.73,27.12,27.78,16.37,3.29,30.143,1.048,2.402,6.605
29.05,26.9,30.33,13.72,2.906,28.112,0.943,2.243,6.417
28.22,27.34,26.96,17.48,2.959,31.224,1.115,2.463,7.058
27.95,27.65,26.96,17.44,2.921,31.492,1.111,2.492,7.072
29.46,26.46,26.98,17.1,2.708,30.168,1.105,2.017,7.559
31.53,27.95,22.38,18.14,2.922,32.227,1.115,2.16,7.662
30.48,27.21,23.93,18.38,2.817,31.853,1.15,2.177,7.593
30.49,27.25,24.05,18.21,2.723,31.687,1.138,2.146,7.765
30.16,26.9,25.37,17.57,3.015,30.941,1.091,2.132,7.289
29.76,28.18,27.22,14.84,3.366,30.055,1.028,2.053,6.517
29.75,26.51,26.37,17.37,2.977,30.349,1.063,2.062,7.432
30.18,26.86,25.91,17.05,2.997,30.623,1.067,2.063,7.155
32.78,27.75,22.95,16.52,2.54,30.316,1.061,2.027,8.323
29.28,27.62,24.47,18.63,3.158,32.226,1.128,2.243,7.497
29.44,28.14,24.79,17.63,3.136,31.963,1.117,2.11,7.441
28.62,28.09,26.92,16.37,2.948,30.848,1.165,2.118,7.386
29.61,27.45,26.31,16.63,2.882,30.764,1.16,2.086,7.193
31.18,26.58,24.8,17.44,2.829,30.771,1.138,2.094,7.188
29.34,27.53,25.71,17.42,2.853,30.95,1.154,2.058,7.932
29.29,28.57,21.71,20.43,2.8,34.518,1.288,2.314,8.083
28.84,29.27,20.48,21.41,2.725,35.836,1.304,2.425,8.389
29.7,28.24,23.38,18.68,2.982,32.872,1.161,2.261,7.642
28.81,28.66,24.6,17.93,3.453,32.734,1.132,2.308,6.969
25.72,30.16,25.29,18.83,3.07,34.351,1.231,2.379,7.956
29.5,28.45,26.25,15.8,2.904,30.836,1.149,2.061,7.297
29.35,26.81,26.74,17.1,2.575,30.632,1.167,2.081,7.451
31.31,25.22,28.33,15.14,2.62,28.011,1.078,1.944,6.707
31.63,26.14,26.41,15.82,2.633,29.296,1.072,1.987,6.969
30.47,28.38,25.37,15.78,2.848,30.616,1.085,2.016,7.595
29.96,27.27,26.13,16.64,2.728,30.848,1.087,2.045,7.207
30.22,27.79,24.33,17.66,2.751,31.233,1.109,1.943,8.41
28.51,27.91,25.23,18.35,3.11,32.192,1.002,2.307,7.651
28.34,28,24.22,19.44,3.122,33.281,1.073,2.402,7.56
30.43,28.3,23.17,18.1,2.653,35.46,1.151,1.834,5.297
29.72,26.2,28.73,15.35,2.782,29.018,1.033,2.17,6.544
31.32,27.35,24.13,17.2,2.626,31.352,1.087,2.106,7.383
29.04,25.95,27.76,17.25,2.945,30.066,1.055,2.064,7.065
32.16,27.53,23.39,16.92,2.725,31.187,1.087,2.086,7.364
30.7,25.93,26.45,16.92,2.739,29.921,1.069,2.064,7.057
31.45,26.36,25.69,16.5,2.909,29.925,1.039,2.035,6.955
29.49,25.59,27.33,17.59,2.896,30.109,1.069,2.1,7.005
30.72,27.18,26.97,15.13,2.911,29.513,0.964,2.137,6.787
30.92,27.08,26.2,15.8,2.707,30.037,1.057,2.006,7.077
31.49,27.4,23.94,17.17,2.875,31.659,1.071,2.013,6.949
31.41,27.2,24.15,17.24,2.89,31.174,1.047,2.044,7.289
31.75,26.8,24.91,16.54,2.749,30.834,1.057,2.02,6.683
32.04,27.36,23.71,16.89,2.707,31.43,1.08,2.04,6.994
30.55,27.39,24.29,17.77,2.765,31.898,1.093,2.147,7.254
32.46,27.2,22.44,17.9,2.517,31.898,1.07,2.125,7.488
32.27,27.07,23.1,17.56,2.504,31.351,1.055,2.047,7.67
30.76,26.64,25.11,17.49,2.849,31.148,0.986,2.196,6.949
30.82,28.33,23.94,16.91,2.97,31.929,0.979,2.265,7.1
31.64,28.09,23.26,17.01,2.609,31.473,1.083,2.046,7.886
33.14,27.75,21.7,17.41,2.324,31.535,1.104,2.141,8.059
32.73,27.47,21.56,18.24,2.497,32.166,1.095,2.252,7.701
31.57,28.08,22.79,17.56,2.737,32.13,1.09,2.257,7.424
29.77,27.43,25.55,17.25,2.879,31.284,0.998,2.205,7.315
29.31,28.11,25.92,16.66,2.877,31.51,1.058,1.924,7.403
28.14,28.43,26.29,17.14,3.169,29.991,1.108,2.083,9.223
28.39,28.15,24.86,18.6,3.037,32.616,1.095,2.29,7.716
28.39,28.15,24.86,18.6,3.037,33.041,1.044,2.349,7.283
29.9,27.39,24.37,18.34,2.842,31.961,1.01,2.365,7.55
29.81,27.48,25.38,17.33,2.823,31.382,0.972,2.259,7.375
28.74,27.23,26.26,17.77,2.798,31.263,1.057,2.303,7.575
29.94,27,25.28,17.78,2.735,31.268,1.084,2.266,7.425
27.49,28.36,24.26,19.89,2.77,34.242,1.166,2.469,7.607
28.29,27.78,25.51,18.42,2.755,32.414,1.141,2.379,7.516
29.34,26,29.08,15.58,2.874,28.9,1.048,2.175,6.58
28.7,26.21,29.24,15.85,3.104,29.254,0.967,2.183,6.55
28.8,26.61,28.18,16.41,2.908,30.856,1.036,2.251,5.967
29.42,28.61,23.45,18.52,3.021,33.409,1.159,2.473,7.071
30.1,27.54,26.21,16.15,3.144,30.909,1.048,2.328,6.262
29.53,28.44,22.66,19.37,2.993,34.071,1.224,2.543,6.976
29.36,27.89,25.12,17.63,2.911,31.915,1.149,2.376,7.166
28.2,26.69,28.44,16.67,2.902,30.38,1.128,2.344,6.604
30.75,27.24,23.47,18.54,2.272,32.457,1.209,2.397,7.442
28.28,26.51,28.47,16.74,2.941,30.336,1.133,2.316,6.52
28.58,27.25,26.17,18,2.832,31.866,1.21,2.431,6.915
28.52,27.29,28.15,16.04,2.929,30.12,1.158,2.33,6.79
28.93,27.21,29.06,14.8,2.868,30.888,1.151,2.859,4.247
31.11,26.54,26,16.35,2.718,29.94,0.982,2.233,7.021
30.35,25.74,28.44,15.47,3.419,28.56,1.082,2.188,5.961
30.39,27.6,20.94,21.07,2.311,34.604,1.244,2.517,7.996
30.73,26.35,27.32,15.6,2.735,29.487,0.951,2.226,6.552
29.83,27.18,27.6,15.39,2.799,29.877,1.155,2.245,6.493
29.83,26.97,28.18,15.02,3.343,29.585,1.178,2.219,5.663
30.04,26.97,25.38,17.61,2.811,31.458,1.079,2.34,6.896
29.68,27.43,26.36,16.53,2.904,31.039,0.99,2.304,6.727
30.05,27.38,25.54,17.03,2.916,30.976,1.076,2.302,7.14
30.33,26.15,28.87,14.65,2.66,28.235,0.905,2.127,6.873
30.39,27.77,26.26,15.58,2.983,30.379,0.974,2.311,6.705
29.68,26.54,27.34,16.44,2.538,29.97,0.95,2.242,7.28
28.55,26.06,28.56,16.83,3.136,29.847,0.943,2.255,6.708
29.93,26.05,27.59,16.43,3.035,29.936,0.946,2.273,6.293
30.29,26.1,26.45,17.16,3.072,30.221,0.944,2.314,6.708
30.08,27.15,24.52,18.25,2.967,31.748,1.152,2.404,7.133
28.84,26.98,26.75,17.43,2.978,30.843,1.019,2.372,7.201
28.38,27.25,27.52,16.85,3.002,30.83,1.04,2.353,6.87
28.9,27.64,28.34,15.12,3.444,30.049,0.933,2.232,6.104
28.75,26.42,28.41,16.42,2.804,29.916,0.995,2.277,6.851
28.83,26.67,27.6,16.9,2.846,30.568,1.012,2.31,6.838
26.14,27.39,30.64,15.83,3.32,30.277,1.034,2.292,6.3
28.16,26.5,28.94,16.4,2.758,29.908,1.101,2.26,6.874
30.15,27.5,25.59,16.76,3.267,31.425,1.019,2.395,6.155
29.57,25.45,28.46,16.52,2.449,29.225,1.08,2.286,6.927
30.23,24.25,30.54,14.98,2.361,27.196,1.007,2.094,6.575
29.22,25.68,28.65,16.45,2.438,29.394,1.093,2.308,6.901
28.34,28.19,27.21,16.26,4.083,31.3,0.999,2.386,5.685
29.8,26.29,29.46,14.45,2.728,28.406,1.069,2.158,6.38
29.85,26.67,27.37,16.11,3.335,29.709,0.974,2.253,6.512
28.77,26.35,29.39,15.49,2.944,29.523,1.119,2.272,5.987
