p_ar_mois,p_ar_vol,p_ar_ash,p_ar_fc,p_ar_sul,u_ar_car,u_ar_nit,u_ar_hyd_exc,u_ar_oxy_exc
32.62,24.11,24.39,18.88,2.804,29.692,1.148,1.909,7.442
34.18,24.97,23.47,17.38,3.414,29.643,1.074,2.046,6.169
34.31,24.95,23.23,17.51,3.453,29.806,1.094,2.103,6
34.08,25.71,24.06,16.15,3.234,28.917,1.096,2.02,6.596
35.13,24.99,23.39,16.49,3.42,29.09,1.127,1.982,5.858
34.21,25.42,25.03,15.34,2.772,27.932,1.126,1.688,7.244
33.02,24.33,27.96,14.69,2.511,26.524,1.056,1.636,7.296
33.97,25.39,23.1,17.54,2.714,29.712,1.1,2.041,7.364
33.95,25.75,22.94,17.36,2.797,30.043,1.153,2.019,7.095
28.74,23.06,34.64,13.56,2.476,27.062,0.943,1.879,4.255
29.89,23.56,29.84,16.71,2.799,27.672,1.031,2.039,6.729
29.74,22.99,30.64,16.63,2.763,27.358,1.024,1.967,6.509
28.43,23.52,29.53,18.52,3.443,30.538,1.001,2.063,4.993
30.24,23.89,25.43,20.44,3.066,30.258,1.083,2.115,7.806
27.75,23.92,31.67,16.66,2.994,28.605,1.022,1.947,6.013
30.47,24.22,25.65,19.66,2.794,29.849,1.101,2.021,8.113
28.81,24.15,29.7,17.34,2.936,30.162,1.025,2.001,5.367
31.31,23.34,29.06,16.29,2.664,27.863,0.992,1.695,6.413
31.03,23.2,26.03,19.74,3.06,29.647,1.096,2.168,6.967
30.67,23.95,26.97,18.41,2.897,28.922,1.045,2.011,7.483
31.05,23.97,26.56,18.42,2.748,28.875,1.043,2.04,7.688
31.24,24.62,25.02,19.12,2.885,29.909,1.086,2.057,7.803
31.45,23.52,27.74,17.29,2.632,29.416,1.029,1.781,5.948
28.54,22.56,33.51,15.39,3.093,25.309,0.928,1.997,6.62
31.61,27.12,23.2,18.07,2.831,31.698,1.068,1.929,7.662
32.39,27.22,22.62,17.77,3.305,31.501,1.076,1.929,7.18
32.05,27.56,23.28,17.11,2.874,30.863,1.06,1.839,8.028
32.75,26.52,20.67,20.06,3.013,32.617,1.124,1.794,8.034
33.35,27.23,18.94,20.48,3.006,33.906,1.138,1.865,7.792
32.91,26.65,20.19,20.25,3.005,32.79,1.166,1.806,8.138
31.87,25.31,25.2,17.62,2.774,29.565,1.034,1.809,7.75
31.99,27.81,24.63,15.57,3.261,29.996,1.016,1.905,7.203
30.85,27.05,24.93,17.17,3.161,31.03,1.086,1.754,7.184
31.78,27.54,23.65,17.03,3.884,31.021,1,1.681,6.981
30.83,26.88,24.53,17.76,3.177,31.069,1.1,1.642,7.649
30.32,27.19,24.65,17.84,3.172,31.441,1.115,1.618,7.688
28.98,26.57,27.23,17.22,3.13,30.366,1.073,1.85,7.37
26.78,25.96,32.61,14.65,3.687,27.393,0.984,1.68,6.863
29.54,26.88,25.94,17.64,3.203,30.779,1.079,1.832,7.626
29.74,27.13,25.58,17.55,3.206,31.168,1.09,1.78,7.439
29.26,26.14,29.76,14.84,2.939,28.483,1.045,1.481,7.028
27.23,25.52,32.05,15.2,3.079,28.14,1.014,1.627,6.86
30.45,27.23,26.21,16.11,2.989,30.242,1.102,1.541,7.461
29.96,26.83,27.34,15.87,2.931,29.545,1.073,1.41,7.742
30.44,24.92,29.74,14.9,2.896,27.47,1.026,1.619,6.808
32.48,27.09,25.13,15.3,3.448,29.811,0.985,1.596,6.545
30.69,25.45,28.31,15.55,3.078,28.371,1.075,1.724,6.754
31.62,25.5,28.04,14.84,2.92,27.825,1.024,1.402,7.166
30.29,24.61,30.24,14.86,2.956,27.07,0.975,1.571,6.896
31.08,25.26,29.55,14.11,3.177,27.16,0.979,1.456,6.596
30.3,25.07,29.5,15.13,3.04,30.534,0.997,1.575,4.054
31.47,24.54,29.47,14.52,2.833,27.017,0.996,1.444,6.771
29.64,24.61,30.89,14.86,2.976,27.168,0.998,1.505,6.825
31.76,26.1,26.7,15.44,2.86,28.733,1.055,1.522,7.375
30.61,27.45,23.98,17.96,3.03,32.116,1.071,2.012,7.181
29.62,25.74,29.2,15.44,2.887,28.631,1.022,1.461,7.183
29.8,26.56,28.35,15.29,2.937,29.092,1.047,1.592,7.185
32.25,24.94,26.61,16.2,2.944,29.317,0.992,1.526,6.362
28.91,26.87,28.37,15.85,2.908,30.523,1.041,1.634,6.609
31.59,27.96,23.83,16.62,3.282,31.227,1.035,1.814,7.224
29.57,26.86,26.22,17.35,2.818,30.809,1.092,1.933,7.562
29.33,25.81,28.79,16.07,2.971,31.104,1.024,1.388,5.395
29.8,27.4,29.29,13.51,3.367,28.504,0.946,1.458,6.637
30.01,25.85,27.2,16.94,2.993,29.55,1.049,1.531,7.663
29.84,26.03,29.34,14.79,2.763,28.185,0.962,1.746,7.166
28.74,26.4,28.43,16.43,2.961,29.981,1.034,1.576,7.279
28.55,28.5,28.64,14.31,3.566,29.916,0.963,1.788,6.579
28.92,25.73,28.3,17.05,2.89,29.443,1.057,1.667,7.72
29.87,24.94,30.07,15.12,2.72,27.595,0.961,1.726,7.059
28.49,23.61,33.36,14.54,2.566,25.911,0.933,1.553,7.184
29.51,25.03,28.71,16.75,2.767,28.799,1.002,1.77,7.439
31.29,27.44,27.22,14.05,3.225,28.399,0.975,1.58,7.316
28.57,26.32,28.12,16.99,2.873,29.646,1.012,1.758,8.025
30.19,25.79,28.42,15.6,2.812,28.842,1.015,1.241,7.484
31.54,28.29,24.43,15.74,3.303,31.009,1.049,1.089,7.584
29.06,26.54,27.6,16.8,2.806,29.984,1.023,1.198,8.33
29.45,27.11,26.83,16.61,2.799,29.864,1.025,1.647,8.383
32.54,28.01,22.09,17.36,3.228,31.805,1.062,1.526,7.745
28.48,25.81,29.56,16.15,2.977,29.093,0.991,1.654,7.249
27.91,26.16,29.95,15.98,2.915,28.915,0.984,1.572,7.754
29.35,25.68,29.64,15.33,2.93,28.453,1.008,1.48,7.138
28.81,27.06,29.35,14.78,3.16,28.715,1.02,1.561,7.387
27.54,25.86,32.78,13.82,3.063,27.304,0.92,1.571,6.823
27.3,25.58,32.78,14.34,3.055,27.359,0.919,1.627,6.957
30.16,26.79,29.35,13.7,3.132,27.58,0.992,1.455,7.329
31.71,26.65,28.06,13.58,3.534,27.963,0.93,1.252,6.548
29.27,26.34,28.33,16.06,3.157,29.492,1.026,1.332,7.397
28.54,26.25,29.42,15.79,3.129,29.172,1.214,1.415,7.11
28.88,26.1,29.12,15.9,3.072,29.455,0.987,1.375,7.113
27.2,27.43,30.13,15.24,3.005,29.668,1.016,1.648,7.337
27.56,28.96,31.35,12.13,3.402,28.409,0.915,1.592,6.767
26.16,27.24,31.04,15.56,3.091,29.728,1.024,1.475,7.479
26.2,27.52,31.02,15.26,3.124,29.826,0.982,1.547,7.301
29.92,25.72,28.52,15.84,2.655,28.571,1.019,1.514,7.795
29.79,26.13,27.52,16.56,2.871,29.635,1.044,1.608,7.531
28.99,26.06,29.08,15.87,2.847,28.907,1.032,1.532,7.616
25.27,26.52,32.6,15.61,3.085,28.832,0.976,1.791,7.448
26.6,27.51,29.02,16.87,2.752,30.804,1.079,1.719,8.021
26.46,27.39,28.73,17.42,2.834,31.079,1.088,1.641,8.169
29.74,27.55,27.98,14.73,3.14,29.267,0.991,1.331,7.551
29.37,26.18,30.48,13.97,3.216,27.748,0.908,1.305,6.974
29.09,26.72,27.64,16.55,3.025,31.522,1.07,1.437,6.213
30,26.32,27.19,16.49,3.017,29.586,1.055,1.254,7.898
27.39,25.02,32.69,14.9,2.893,27.035,0.99,1.263,7.74
29.17,27.28,28.96,14.59,3.779,29.033,0.962,1.109,6.988
28.55,25.31,30.97,15.17,2.828,27.589,1.164,1.028,7.873
29.06,24.97,30.73,15.24,2.73,27.562,1.16,1.074,7.679
26.8,27.52,29.14,16.54,3.136,30.963,1.083,1.578,7.297
27.51,26.58,30.51,15.4,3.022,29.146,1.04,1.641,7.134
29.56,27.04,27,16.4,3.492,30.225,1.068,1.489,7.164
27.8,27.42,28.2,16.58,3.172,31.032,1.431,1.523,6.841
31.3,28.26,22.51,17.93,2.633,32.067,1.099,1.472,8.916
32.16,27.57,22.03,18.24,3.054,32.399,1.134,1.397,7.822
32.63,25.93,24.68,16.76,2.712,29.96,1.056,0.962,8
33.63,27.95,21.46,16.96,2.719,31.21,1.06,0.868,9.055
28.67,27.56,27.2,16.57,3.036,30.64,1.057,1.311,8.083
27.89,26.12,30.68,15.31,2.972,28.528,1.014,1.392,7.523
30.06,28.62,25.59,15.73,3.675,31.172,0.963,1.303,7.237
