p_mois,p_vol,p_ash,p_car,p_sul,u_car
17.74,30.965,32.89,18.405,3.375,33.14
18.095,29.795,34.335,17.775,3.295,31.71
18.035,32.02,33.105,16.84,4.16,32.965
18.23,31.265,31.455,19.05,3.18,34.04
17.445,31.34,32.205,19.01,3.355,33.95
16.38,33.995,31.505,18.12,4.64,36.045
14.105,32.575,32.22,21.1,3.5,36.26
15.415,32.125,32.55,19.91,3.615,35.38
15.155,32.47,32.7,19.675,3.6,35.48
18.315,32.17,33.03,16.485,4.2,34.05
16.64,31.495,32.505,19.36,3.424,34.31
17.27,31.55,29.915,21.265,3.477,35.945
17.905,31.51,29.94,20.645,3.547,35.58
15.835,32.955,34.935,16.275,4.52,33.48
16.01,30.49,34.17,19.33,3.82,34.365
16,32.125,33.7,18.175,3.475,33.695
14.08,31.99,36.265,17.665,4.309,34.26
12.835,32.9,36.885,17.38,3.444,33.635
12.515,33.17,36.745,17.57,3.371,34.955
13.71,32.49,34.965,18.835,3.396,34.55
14.57,32.685,35.325,17.42,4.545,33.815
14.19,32.775,33.945,19.09,3.575,34.145
14.135,33.265,33.21,19.39,3.56,36.01
15.205,33.855,32.835,18.105,4.465,36.44
15.445,32.895,30.85,20.81,3.61,35.6
13.275,31.73,35.595,19.4,3.671,34.68
13.43,31.695,34.755,20.12,3.544,35.08
14.49,33.45,36.325,15.735,4.415,33.36
13.865,32.93,35.05,18.155,3.705,34.825
14.81,33.17,31.945,20.075,3.655,35.71
11.06,33.99,39.2,15.75,4.205,34.355
10.645,31.88,39.885,17.59,3.72,32.635
10.78,31.835,38.825,18.56,3.765,34.81
10.375,32.1,38.935,18.59,3.815,34.785
13.67,33.395,36.6,16.335,4.189,33.97
13.332,32.455,39.29,14.923,3.838,30.905
14.005,32.925,34.53,18.54,3.646,33.725
14.78,32.545,35.045,17.63,3.652,32.895
14.73,31.005,35.745,18.52,3.365,33.705
13.055,32.07,35.86,19.015,3.44,34.725
15.475,32.07,34.145,18.31,3.417,34.775
16.405,30.34,33.74,19.515,3.112,34.47
12.665,32.98,39.81,14.545,4.327,32.125
12.66,32.56,37.575,17.205,3.877,34.095
12.99,32.56,34.665,19.785,3.188,35.625
13.695,32.7,33.71,19.895,3.176,35.8
17.33,32.12,30.825,19.725,3.35,35.98
15.245,32.82,32.38,19.555,3.555,36.38
17.465,31.38,31.975,19.18,3.56,35.625
14.16,31.735,36.76,17.345,4.334,33.59
14.115,33.17,32.3,20.415,3.883,37.135
14.06,33.465,31.715,20.76,3.785,37.71
13.775,33.315,32.34,20.57,3.843,37.305
17.435,31.41,34.825,16.33,4.093,32.95
17.64,31.5,32.22,18.64,3.535,35.165
16.94,31.985,31.13,19.945,3.581,36.31
17.06,32.065,30.605,20.27,3.553,36.765
13.925,33.21,33.76,19.105,3.608,36.24
15.25,33.15,31.085,20.515,3.535,37.235
16.42,31.715,35.085,16.78,3.83,33.56
15.95,31.73,33.285,19.035,4.031,35.16
17.195,31.19,32.81,18.805,3.277,34.55
17.645,30.53,32.965,18.86,3.199,34.17
16.46,32.1,31.945,19.495,3.249,35.46
18.155,31.95,32.665,17.23,3.482,35.255
19.015,32.165,31.38,17.44,3.997,34.465
18.8,31.59,29.955,19.655,3.457,35.515
16.845,32.215,32.075,18.865,3.531,35.3
16.745,29.93,34.62,18.705,3.383,33.46
16.795,30.425,32.53,20.25,3.336,34.825
15.68,30.62,33.53,20.17,3.111,35.195
15.235,30.705,36.03,18.03,3.302,33.57
17.68,30.195,33.495,18.63,3.45,33.88
19.24,29.79,32.26,18.71,3.735,33.735
18.855,30.42,32.115,18.61,3.38,34
18.255,30.67,32.625,18.45,3.525,35.14
16.145,31.085,36.155,16.615,3.73,33.15
15.46,31.295,34.945,18.3,3.675,34.605
16.635,31.085,33.595,18.685,3.735,34.455
15.895,32.395,35.64,16.07,3.833,33.365
13.935,31.32,37.6,17.145,3.943,33.17
14.88,31.215,36.385,17.52,3.602,33.605
14.09,32.21,36.835,16.865,3.354,33.945
16.995,33.015,32.015,17.975,4.185,35.4
16.225,31.27,33.985,18.52,3.53,34.395
15.2,31.765,35.025,18.01,3.57,34.38
14.02,31.305,38.075,16.6,4.418,32.795
