p_mois,p_vol,p_ash,p_car,p_sul,u_nit
15.33,30.325,36.41,17.935,3.5,1.23
15.365,29.605,37.155,17.875,3.58,1.2
15.285,32.405,33.14,19.17,3.55,1.31
16.405,33.07,28.89,21.635,3.65,1.29
15.29,30.985,35.14,18.585,3.475,1.23
15.495,31.97,34.125,18.41,3.535,1.26
15.305,31.18,33.265,20.25,3.68,1.24
14.64,32.265,34.07,19.025,3.492,1.25
16.73,34.03,29.005,20.235,3.994,1.26
13.565,32.965,32.175,21.295,3.458,1.34
15.775,30.765,34.31,19.15,3.54,1.22
17.595,32.16,34.38,15.865,3.953,1.11
17.245,30.57,32.165,20.02,3.539,1.24
13.92,31.935,35.995,18.15,3.39,1.18
14.575,31.65,34.08,19.695,3.55,1.24
13.9,34.345,34.51,17.245,4.298,1.16
14.635,30.895,33.99,20.48,3.471,1.27
13.845,30.635,36.94,18.58,3.342,1.18
12.625,28.845,40.765,17.765,3.135,1.14
14.16,30.48,34.965,20.395,3.37,1.22
14.06,34.32,34.04,17.58,4.033,1.22
13.165,31.995,34.18,20.66,3.493,1.23
18.19,30.22,33.3,18.29,3.295,1.19
21.03,32.63,28.175,18.165,3.81,1.21
18.85,30.355,31.57,19.225,3.21,1.17
15.31,32.545,32.21,19.935,3.36,1.23
17.45,34.28,27.035,21.235,3.95,1.3
14.845,30.725,35.19,19.24,3.545,1.18
14.31,31.09,35.6,19,3.465,1.17
15.23,30.815,35.565,18.39,3.515,1.21
14.865,32.36,35.095,17.68,3.779,1.22
13.325,30.935,39.21,16.53,3.664,1.1
12.205,30.895,39.59,17.31,3.689,1.11
15.55,32.395,35.49,16.565,3.788,1.2
17.065,32.37,34.08,16.485,4.292,1.13
17.26,30.81,33.135,18.795,3.693,1.2
16.395,30.715,34.42,18.47,3.661,1.42
16.385,30.68,34.235,18.7,3.611,1.16
19,30.525,33.52,16.955,3.343,1.13
18.48,32.595,35.285,13.64,3.828,1.03
17.76,30.34,34.575,17.325,3.442,1.14
18.075,30.55,34.435,16.94,3.468,1.09
16.825,30.525,33.855,18.795,3.151,1.21
17.98,30.525,32.15,19.345,3.354,1.22
16.085,30.795,34.36,18.76,3.365,1.22
14.26,30.43,37.4,17.91,3.54,1.12
15.005,31.86,33.61,19.525,3.186,1.25
16.165,31.22,32.75,19.865,3.231,1.24
18.45,31.975,32.475,17.1,3.645,1.15
19.08,29.99,34.92,16.01,3.685,1.04
17.825,30.97,32.035,19.17,3.505,1.24
19.035,30.44,31.45,19.075,3.49,1.22
17.145,28.545,37.3,17.01,3.301,1.13
19.785,30.895,32.795,16.525,4.28,1.09
18.37,28.915,35.38,17.335,3.231,1.33
18.05,28.85,35.505,17.595,3.154,1.34
17.54,31,32.83,18.63,3.533,1.22
17.775,30.145,34.605,17.475,3.427,1.18
20.225,30.62,30.58,18.575,3.955,1.21
18.29,31.035,31.915,18.76,3.59,1.62
20.645,32.64,26.005,20.71,3.041,1.27
21.04,32.085,25.645,21.23,3.555,1.32
22.15,29.965,28.52,19.365,3.134,1.22
22.38,32.69,25.095,19.835,3.18,1.24
19.055,31.27,30.87,18.805,3.445,1.2
17.495,29.89,35.105,17.51,3.4,1.16
20.125,32.69,29.225,17.96,4.197,1.1
17.32,29.59,34.085,19.005,3.218,1.22
16.325,32.19,32.24,19.245,3.534,1.14
16.34,30.585,35.44,17.635,3.5,1.19
16.745,31.13,32.745,19.38,3.335,1.29
18.48,33.305,30.36,17.855,4.02,1.14
20.145,33.175,31.24,15.44,3.941,1.04
21.045,33.14,29.705,16.11,3.972,1.05
21.815,33.215,28.245,16.725,4.038,1.07
20.14,32.535,28.845,18.48,4.193,1.15
19.625,30.43,30.815,19.13,3.15,1.24
18.445,31.5,33.15,16.905,4.041,1.09
20.74,30.4,30.26,18.6,3.247,1.24
18.85,31.04,30.235,19.875,3.252,1.3
20.33,30.52,29.785,19.365,3.401,1.19
18.395,30.295,33.095,18.215,3.239,1.21
17.735,30.195,33.955,18.115,3.217,1.2
20.24,29.725,30.68,19.355,3.554,1.21
19.22,30.55,30.915,19.315,3.3,1.27
16.685,33.945,32.58,16.79,4.016,1.15
18.335,29.185,34.97,17.51,3.189,1.18
18.99,29.875,34.62,16.515,3.572,1.12
20.95,30.705,29.66,18.685,3.322,1.24
18.925,31.08,31.13,18.865,3.431,1.27
19.25,29.735,33.275,17.74,3.182,1.17
20.515,33.195,27.32,18.97,4.001,1.19
17.21,31.145,31.93,19.715,3.289,1.21
18.055,30.605,31.625,19.715,3.288,1.21
16.89,33.31,26.475,23.325,3.46,1.428
17.995,31.095,33.425,17.485,3.37,1.206
20.75,34.115,24.13,21.005,3.85,1.248
21.6,31.28,26.4,20.72,3.257,1.363
22.31,30.735,29.38,17.575,3.193,1.256
22.885,30.815,28.085,18.215,3.191,1.357
23.13,30.71,28.42,17.74,3.251,1.362
20.115,31.46,31.335,17.09,4.405,1.155
20.745,32.815,27.27,19.17,4.165,1.255
21.515,32.65,26.285,19.55,4.275,1.244
20.295,32.285,30.85,16.57,3.93,1.172
15.86,32.285,34.23,17.625,3.966,1.174
16.3,31.775,30.61,21.315,3.709,1.321
