p_mois,p_vol,p_ash,p_car,p_sul,u_hyd
17.34,34.26,24.47,23.93,2.65,4.68
17.29,34.71,24.3,23.7,2.99,4.76
15.71,35.92,24.3,24.07,2.98,4.63
15.7,35.58,24.49,24.23,3.18,4.67
13.47,35.66,31.66,19.21,3.72,4.29
15.98,34.73,25.91,23.38,2.91,4.73
13.39,34.01,33.14,19.46,3.19,4.24
13.52,33.83,32.27,20.38,3.06,4.26
14.06,34.45,31.84,19.65,3.41,4.39
11.75,35.89,36.56,15.8,4.25,4.07
12.64,35.56,33.23,18.57,3.75,4.22
15.53,33.92,31.18,19.37,3.79,4.53
14.27,35.69,30.13,19.91,3.26,4.44
14.36,34.01,32.56,19.07,3.06,4.34
13.68,34.96,33.81,17.55,3.67,4.2
15.03,34.47,31.13,19.37,3.46,4.44
15.42,34.75,29.54,20.29,3.39,4.54
14.31,35.89,29.88,19.92,2.93,4.47
14.81,34.58,28.26,22.35,2.98,4.52
13.95,35.18,28.11,22.76,3.41,4.58
13.59,35.26,30.19,20.96,2.6,4.36
13.71,35.15,29.31,21.83,3.06,4.47
14.05,34.84,31.39,19.72,2.48,4.34
15.17,34.24,27.55,23.04,3.25,4.69
13.97,35.5,28.96,21.57,3.17,4.45
14.63,34.11,28.7,22.56,3.18,4.54
12.9,34.08,31.17,21.85,3.01,4.38
13.77,33.94,30.33,21.96,3.12,4.47
13.88,34.3,29.51,22.31,2.96,4.46
13.92,34.3,27.36,24.42,3.28,4.46
11.5,34.88,31.88,21.74,3.4,4.18
12.65,35.46,28.28,23.61,3.65,4.29
12.34,35.52,29.27,22.87,3.55,4.32
12.5,34.91,30.37,22.22,3.35,4.39
13.05,35.35,26.95,24.65,3.65,4.55
12.2,33.48,31.2,23.12,2.92,4.29
11.88,34.54,28.44,25.14,3.62,4.43
10.73,35.95,29.19,24.13,3,4.24
10.06,34.38,29.42,26.14,3.64,4.27
11.8,34.73,32.39,21.08,3.7,4.22
10.23,36.37,29.37,24.03,3.4,4.18
10.43,36.44,29.8,23.33,3.45,4.19
11.77,36.76,26.81,24.66,3.14,4.33
9.75,36.5,31.06,22.69,2.96,4.1
10.69,36.26,29.27,23.78,3.25,4.18
11.98,37.36,25.09,25.57,3.36,4.47
11.81,35.5,30.21,22.48,3.23,4.27
11.5,36.15,26.21,26.14,3.17,4.27
11.45,38.19,18.34,32.02,2.55,4.6
9.5,37.56,26.17,26.77,3.06,4.21
10.72,37.38,26.45,25.45,3.45,4.33
12.21,37.13,25.53,25.13,3.28,4.5
10.48,36.02,28.47,25.03,3.09,4.27
10.5,35.39,30.49,23.62,3.02,4.22
11.12,35.32,29.3,24.26,3.87,4.26
16.11,35.34,24.9,23.65,3.07,4.73
13.53,33.1,34.02,19.35,3.18,4.22
10.91,35.28,30.57,23.24,3.72,4.19
13.71,35.61,26.94,23.74,3.13,4.49
13.07,36.95,28.68,21.3,3.33,4.41
16.24,35.28,26.27,22.21,3.2,4.71
16.09,33.78,27.09,23.04,3.5,4.7
17.41,35.06,22.45,25.08,3.12,4.9
15.91,36.03,20.13,27.93,3.54,5.13
16.5,35.01,23.79,24.7,2.41,4.81
15.42,33.95,29.09,21.54,2.8,4.55
16.21,35.41,21.36,27.02,2.78,4.89
16.79,35.19,25.23,22.79,2.58,4.63
17.28,35.27,22.54,24.91,2.23,4.75
17.61,33.67,24.3,24.42,2.9,4.7
15.81,34.49,26.63,23.07,3.09,4.48
14.55,33.8,30.52,21.13,3.16,4.27
14.56,35.36,25.55,24.53,2.72,4.47
16.07,35.61,20.41,27.91,2.37,4.74
16.41,35.83,21.67,26.09,2.63,4.7
17.89,34.45,22.04,25.62,2.89,4.91
18.18,34.7,20.89,26.23,2.85,4.93
16.62,33.36,25.95,24.07,2.91,4.65
10.75,38.16,24.38,26.71,2.83,4.31
15.48,34.18,30.92,19.43,3,4.28
14.21,34.48,28.49,22.84,2.83,4.46
12.62,34.55,32.51,20.33,2.75,4.28
10.89,34.32,33.22,21.58,3.59,4.16
12.76,35.46,30.7,21.09,3.49,4.37
12.4,37.35,27.51,22.75,3.45,4.41
8.97,35.91,32.35,22.78,3.8,4.06
9.39,33.23,39.69,17.7,3.18,3.62
9.38,36.27,35.51,18.85,3.99,3.86
8.28,34.2,36.61,20.92,3.55,3.74
10.51,36.79,30.88,21.83,3.77,4.11
12.62,34.55,32.67,20.18,3.96,4.12
12.66,34.42,35.35,17.58,2.16,4.1
13.97,35.83,29.49,20.73,3.94,4.5
11,34.67,34.34,20,3.27,4
12.19,34.93,33.24,19.65,3.24,4.14
13.35,34.77,31.91,19.98,3.32,4.23
15.08,33.54,32.34,19.04,4.21,4.37
15.43,34.91,28.92,20.74,3.54,4.42
13.23,36.39,30.27,20.11,4.06,4.37
13.82,33.56,34.46,18.16,3.54,4.27
14.32,33.17,33.91,18.6,3.51,4.22
12.34,34.23,35.75,17.68,2.99,4
11.5,33.89,36.73,17.88,2.85,3.94
13.17,33.34,33.54,19.95,3.14,4.35
12.23,33.61,36.63,17.53,3.19,3.98
13,36.05,34.95,16,4.03,4.15
13.89,33.67,35.41,17.03,3.23,4.22
15.41,33.91,30.05,20.63,3.23,4.53
14.02,33.7,33.28,19,3.05,4.3
13.82,33.24,31.45,21.49,3.08,4.45
13.32,34.09,30.79,21.8,3.51,4.46
13.38,34.66,29.52,22.44,3.32,4.5
11.46,34.37,31.92,22.25,3.33,4.28
14.98,33.98,28.24,22.8,3.46,4.5
13.73,33.45,31.91,20.91,3.47,4.14
13.46,34.31,29.07,23.16,3.62,4.46
14.03,35.64,28.04,22.29,3.8,4.48
12.79,35.08,29.06,23.07,3.85,4.39
13.18,33.71,31.58,21.53,3.92,4.36
11.75,33.75,33.38,21.12,3.44,4.25
12.8,35.32,28.27,23.61,3.35,4.43
9.88,35.28,34.74,20.1,3.27,3.91
12.04,36.87,28.34,22.75,3.36,4.26
9.44,37,30.37,23.19,3.68,3.99
9.24,35.63,33.59,21.54,2.83,3.86
9.61,36.67,28.77,24.95,2.85,4.04
10.14,37.27,24.85,27.74,3.06,4.46
9.04,35.5,28.34,27.12,3.06,4.19
10.52,36.75,28.07,24.66,2.87,4.26
11.39,37.7,23.96,26.95,3.25,4.5
11.86,38.05,25.04,25.05,2.81,4.47
10.6,36.2,31.8,21.4,3.13,4.1
10.37,36.37,28.02,25.24,2.89,4.29
10.28,34.8,32.92,22,3.31,4.14
10.13,36.37,28.68,24.82,2.95,4.14
13.23,34.85,29.82,22.1,3.33,4.36
12.64,36.57,29.48,21.31,3.13,4.38
12.79,36.45,30.99,19.77,3.31,4.27
15.14,35.02,27.75,22.09,3.46,4.58
16.89,33.36,26.63,23.12,3.27,4.78
16.11,34.18,26.41,23.3,3.46,4.72
16.77,34.66,24.7,23.87,3.52,4.83
15.37,36,21.66,26.97,2.3,4.95
15.71,34.92,27.66,21.71,3,2.58
14.27,33.84,29.48,22.41,2.86,4.43
17.61,34.12,23.68,24.59,2.52,4.83
15.73,34.66,27.11,22.5,2.58,4.44
15.36,35.59,25.34,23.71,3.03,4.57
14.18,35.17,26.89,23.76,2.61,4.37
16.45,33.66,28.1,21.79,2.71,4.49
13.82,32.66,33.69,19.83,2.85,4.1
14.57,35.38,25.26,24.79,2.52,4.45
14.88,35.27,25.39,24.46,2.65,4.52
17.25,34.29,26.09,22.37,2.93,4.66
15.65,34.61,26.87,22.87,2.94,4.52
16.28,34.95,24.35,24.42,2.94,4.67
10.15,37.78,27.35,24.72,3.03,4.14
