p_mois,p_vol,p_ash,p_car,p_sul,p_hhv,u_car,u_hyd,u_nit
15.16,33.8,31.57,19.48,3.15,3473.8,36.34,4.29,1.3
16.04,34.6,26.68,22.69,2.61,3759.3,39.88,4.67,1.47
16.99,34.98,23.88,24.16,2.78,3956.1,41.4,4.83,1.51
14.15,35.28,26.36,24.22,2.56,3881.9,41.29,4.6,1.52
14.72,35.1,26.6,23.59,2.58,3824.7,40.99,4.58,1.49
13.26,35.55,28.8,22.41,2.94,3780.3,40.37,4.4,1.44
10.34,32.08,35.88,21.7,3.6,3589.6,37.23,4.02,1.35
12.72,34.97,27.78,24.53,2.89,3921.7,41.68,4.44,1.51
13.27,35.45,28.35,22.94,2.86,3848.1,41.21,4.45,1.48
12.78,35.12,28.1,24.01,2.94,3870,41.31,4.34,1.47
12.95,35.99,28.09,22.99,3.31,3840.4,41.59,4.39,1.5
12.11,37.52,30.36,20.02,4.06,3731.1,40.41,4.27,1.42
12.71,36.04,29.36,21.9,3.63,3753.6,40.19,4.28,1.42
11.84,36.21,27.87,24.09,3.41,3922.5,42.17,4.32,1.48
13.81,35.52,27.61,23.07,3.18,3815.7,40.97,4.48,1.45
11.32,36.8,29.12,22.77,2.75,3811.8,41.22,4.34,1.51
11.34,37.15,27.04,24.48,2.78,4033,43.61,4.45,1.58
11.32,36.59,26.28,25.83,2.87,4091.9,43.85,4.48,1.58
11.17,37.31,24.92,26.61,2.93,4216.9,44.88,4.47,1.58
13.96,36.95,20.27,28.83,2.9,4427.4,47.63,4.86,1.66
14.02,36.54,19.18,30.27,2.93,4562.1,48.28,4.91,1.7
9.61,35.65,31.19,23.57,2.9,3863.9,40.85,4.1,1.48
10.1,35.19,33.43,21.29,3.41,3764.2,39.15,4.01,1.35
9.71,34.84,34.49,20.97,3.33,3703.4,39.6,4.15,1.46
9.85,36.23,26.43,27.5,2.87,4229.2,45.04,4.32,1.63
10.12,36.5,26.56,26.83,2.63,4199.3,44.71,4.26,1.61
11.22,38.76,19.98,30.05,2.53,4614.4,49.11,4.59,1.72
10.42,38.28,23.22,28.09,2.57,4382.4,47.28,4.44,1.66
10.26,36.85,25.81,27.09,2.9,4235.4,45.44,4.36,1.59
9.5,37.89,26.51,26.11,2.92,4254.7,46.37,4.4,1.62
9.75,39.02,26.74,24.5,3.1,4122.7,44.61,4.18,1.53
8.9,39.68,29.66,21.76,3.21,3925,42.56,4.02,1.45
9.06,37.11,28.17,25.67,3.16,4119.3,44.64,4.11,1.58
8.91,37.15,28.96,24.99,3.42,4093.1,44.53,4.1,1.56
11.16,38.23,21.37,29.25,2.77,4499.6,48.26,4.58,1.73
10.65,38.62,25.78,24.96,2.84,4086.1,44.32,4.23,1.56
9.32,33.48,38.69,18.52,3.51,3415.7,36.26,3.82,1.33
12.12,38.09,22.26,27.54,2.89,4284.2,45.91,4.48,1.6
11.26,37.87,23.58,27.3,2.72,4232.1,45.51,4.38,1.64
12.28,38.05,19.8,29.88,2.73,4551.8,48.71,4.63,1.74
10.07,38.56,20.37,31.01,3.5,4731.8,50.43,4.61,1.82
11.98,37.85,18.32,31.86,3.15,4748.9,50.15,4.73,1.77
9.32,36.27,31.1,23.32,3.91,3982,42.13,4.05,1.5
10.07,33.34,36.28,20.32,3.21,3525.2,37.21,3.88,1.38
12.55,34.67,32.75,20.03,3.83,3469.6,36.76,3.98,1.32
14.48,35.15,29.13,21.26,2.09,3785,40.15,4.47,1.42
14.48,35.15,29.13,21.26,2.09,3785,40.53,4.46,1.41
12.6,34.01,31.04,22.35,1.89,3806.1,40.25,4.33,1.44
10.58,33.75,37.14,18.54,3.51,3444.6,36.07,3.89,1.24
13.4,32.97,33.36,20.27,3.22,3517.5,36.82,4.18,1.31
12.37,34.21,32.92,20.51,3.27,3670.8,38.31,4.16,1.36
14.33,34.79,28.07,22.81,3.13,3868.8,40.43,4.4,1.47
11.47,36.49,30.13,21.92,3.83,3895.8,40.74,4.1,1.5
12.41,35.52,27.99,24.08,2.77,3998.3,42.26,4.33,1.56
11.84,35.63,31.06,21.48,3.35,3804.6,39.76,4.07,1.45
12.54,33.8,34.48,19.19,3.03,3439.4,34,3.9,1.29
15.78,36.86,19.75,27.63,2.66,4335.5,46.4,4.99,1.7
14.89,36.46,21.83,26.83,3.22,4197.6,45.14,4.79,1.58
14.05,37.38,23.13,25.45,3.33,4111.9,44.27,4.63,1.55
14.35,37.55,23.07,25.04,2.59,3962.1,42.93,4.52,1.57
11.68,37.38,27.12,23.83,3.05,3849.3,42.36,4.22,1.5
11.68,37.38,27.12,23.83,3.05,3849.3,42.05,4.17,1.51
12.4,37.35,26.84,23.43,3.06,3836.7,42.1,4.31,1.5
12.4,37.35,26.84,23.43,3.06,3836.7,42.4,4.23,1.52
12.4,37.35,26.84,23.43,3.06,3836.7,42.06,4.27,1.5
13.14,36.94,28.74,21.19,2.9,3637.9,39.41,4.26,1.47
12.41,38.04,26.29,23.26,2.98,3909.3,41.65,4.34,1.54
12.96,37.54,23.34,26.17,2.72,4088.9,43.44,4.43,1.62
13.63,36.45,26.71,23.22,2.85,3806.6,41.46,4.45,1.55
13.37,37,25.21,24.43,3.39,4052.8,43.03,4.55,1.53
12.43,38.95,19.78,28.85,2.49,4465.8,48.33,4.79,1.78
12.87,36.97,25,25.16,2.67,4001,42.54,4.37,1.55
13.35,36.53,26.41,23.72,2.84,3863.1,41.7,4.49,1.52
13.46,36.42,25.72,24.41,2.7,3938.1,42,4.53,1.54
13.58,36.69,24.69,25.05,3.08,4069.5,43.34,4.54,1.5
15.11,36.21,25.25,23.44,3.1,3935,41.66,4.59,1.43
17,35.76,23.98,23.27,3.11,3860.1,41.64,4.79,1.42
13.18,37.34,26.1,23.39,2.66,3897,42.2,4.41,1.46
11.76,37.12,29.04,22.1,3.33,3926.3,42.14,4.32,1.43
13.5,37.02,23.36,26.13,2.3,4068.3,43.7,4.52,1.63
14.55,36.06,24.49,24.91,2.8,4006.9,42.68,4.56,1.5
15.4,35.88,23.27,25.46,2.61,4006.9,43.14,4.67,1.52
16.8,35.18,23.96,24.06,2.51,3813.1,40.64,4.67,1.48
16.92,34.8,23.62,24.66,3.04,3937,42.18,4.8,1.43
17.34,34.26,24.47,23.93,2.65,3825,40.67,4.68,1.42
17.29,34.71,24.3,23.7,2.99,3894.2,41.1,4.76,1.42
15.71,35.92,24.3,24.07,2.98,3914.1,41.6,4.63,1.45
15.7,35.58,24.49,24.23,3.18,3956.9,41.66,4.67,1.49
13.47,35.66,31.66,19.21,3.72,3575.4,38.07,4.29,1.35
15.98,34.73,25.91,23.38,2.91,3841.9,40.93,4.73,1.46
13.39,34.01,33.14,19.46,3.19,3427.7,36.48,4.24,1.31
13.52,33.83,32.27,20.38,3.06,3495.6,37.17,4.26,1.32
14.06,34.45,31.84,19.65,3.41,3551,37.81,4.39,1.43
11.75,35.89,36.56,15.8,4.25,3365.2,36.33,4.07,1.28
12.64,35.56,33.23,18.57,3.75,3538.1,37.41,4.22,1.4
15.53,33.92,31.18,19.37,3.79,3580.9,37.47,4.53,1.27
14.27,35.69,30.13,19.91,3.26,3623,38.78,4.44,1.39
14.36,34.01,32.56,19.07,3.06,3442.5,36.66,4.34,1.29
13.68,34.96,33.81,17.55,3.67,3429.9,36.28,4.2,1.24
15.03,34.47,31.13,19.37,3.46,3525.4,37.35,4.44,1.31
15.42,34.75,29.54,20.29,3.39,3645.3,38.84,4.54,1.3
14.31,35.89,29.88,19.92,2.93,3563.4,38.4,4.47,1.35
14.81,34.58,28.26,22.35,2.98,3735.7,39.43,4.52,1.4
13.95,35.18,28.11,22.76,3.41,3879.7,40.92,4.58,1.42
13.59,35.26,30.19,20.96,2.6,3588.2,38.33,4.36,1.41
13.71,35.15,29.31,21.83,3.06,3722.4,39.39,4.47,1.37
14.05,34.84,31.39,19.72,2.48,3452.9,37.24,4.34,1.35
15.17,34.24,27.55,23.04,3.25,3876.1,40.78,4.69,1.43
13.97,35.5,28.96,21.57,3.17,3776,40.09,4.45,1.44
14.63,34.11,28.7,22.56,3.18,3780.2,39.95,4.54,1.44
12.9,34.08,31.17,21.85,3.01,3706.8,39.53,4.38,1.42
13.77,33.94,30.33,21.96,3.12,3738.7,39.23,4.47,1.38
13.88,34.3,29.51,22.31,2.96,3771.8,39.66,4.46,1.41
13.92,34.3,27.36,24.42,3.28,3956.4,40.47,4.46,1.42
11.5,34.88,31.88,21.74,3.4,3728.8,39.98,4.18,1.39
12.65,35.46,28.28,23.61,3.65,3982.2,41.97,4.29,1.55
12.34,35.52,29.27,22.87,3.55,3904.6,41.48,4.32,1.51
12.5,34.91,30.37,22.22,3.35,3842.2,40.61,4.39,1.4
13.05,35.35,26.95,24.65,3.65,4116.9,42.97,4.55,1.43
12.2,33.48,31.2,23.12,2.92,3748.7,39.8,4.29,1.41
11.88,34.54,28.44,25.14,3.62,4061,42.28,4.43,1.51
10.73,35.95,29.19,24.13,3,3995.6,42.28,4.24,1.58
10.06,34.38,29.42,26.14,3.64,4129.9,42.55,4.27,1.56
11.8,34.73,32.39,21.08,3.7,3762,39.28,4.22,1.4
10.23,36.37,29.37,24.03,3.4,4016.5,42.77,4.18,1.49
10.43,36.44,29.8,23.33,3.45,3944.5,42.13,4.19,1.54
11.77,36.76,26.81,24.66,3.14,4065.3,42.9,4.33,1.57
9.75,36.5,31.06,22.69,2.96,3899,41.19,4.1,1.56
10.69,36.26,29.27,23.78,3.25,3990.4,41.95,4.18,1.56
11.98,37.36,25.09,25.57,3.36,4254.2,44.37,4.47,1.54
11.81,35.5,30.21,22.48,3.23,3904.9,40.94,4.27,1.46
11.5,36.15,26.21,26.14,3.17,4190,43.92,4.27,1.5
11.45,38.19,18.34,32.02,2.55,4697.9,49.76,4.6,1.69
9.5,37.56,26.17,26.77,3.06,4268,45.02,4.21,1.48
10.72,37.38,26.45,25.45,3.45,4179.2,45.48,4.33,1.54
12.21,37.13,25.53,25.13,3.28,4145.1,44.63,4.5,1.39
10.48,36.02,28.47,25.03,3.09,4053,43.36,4.27,1.41
10.5,35.39,30.49,23.62,3.02,3928.2,42.23,4.22,1.4
